Titel;Frage;Ebene;Metabereichtyp;Bereichtyp;Raumtyp;Objektklasse;Objekttyp;Antworttyp;Antwortoptionen;Standard Antwort;Einheit;Bedingung;Pflicht;Foto_Pflicht;HilfeText;Kluster;Reihenfolge;Activ;Fragekatalog;Autor;Version;Änderungsdatum;Min_LOD;Zielgruppe;Fototyp;HilfeMedien;Objektart
AB_Zustand;Zustand des Bodenbelags?;Raum;;;;Architektur;Bodenbelag;Einzelauswahl;"neuwertig;gebraucht;abgenutzt/renovierungsbedürftig;weiß nicht";;-;immer;Nein;Nein;;Architektur;20;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Fachkundig;;;Sub-Objekt
AB_Foto;Foto des Bodenbelags;Raum;;;;Architektur;Bodenbelag;Foto-Upload;;;-;immer;Nein;Nein;;Dokumentation / Foto;30;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Laie;;;Sub-Objekt
FL_Material;Fußleiste – Material?;Raum;;;;Architektur;Fußleiste;Einzelauswahl;"Holz;MDF/foliert;Kunststoff;Metall;Naturstein;weiß nicht";;-;immer;Nein;Nein;;Architektur;10;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Fachkundig;;;Sub-Objekt
FL_Profil;Fußleiste – Profil?;Raum;;;;Architektur;Fußleiste;Einzelauswahl;"Rechteck/Standard;Hohlkehle;Sockelleiste (hoch);Kabelkanal-Leiste;sonstige;weiß nicht";;-;immer;Nein;Nein;;Architektur;20;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Fachkundig;;;Sub-Objekt
FL_Hoehe;Fußleiste – Höhe (cm)?;Raum;;;;Architektur;Fußleiste;Zahl;;;cm;immer;Nein;Nein;;Geometrie & Maße (Dimensionen);30;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Fachkundig;;;Sub-Objekt
FL_Tiefe;Fußleiste – Tiefe/Ausladung (cm)?;Raum;;;;Architektur;Fußleiste;Zahl;;;cm;immer;Nein;Nein;;Geometrie & Maße (Dimensionen);31;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Fachkundig;;;Sub-Objekt
FL_Foto;Foto der Fußleiste;Raum;;;;Architektur;Fußleiste;Foto-Upload;;;-;immer;Nein;Nein;;Dokumentation / Foto;40;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Fachkundig;;;Sub-Objekt
WV_Art;Art der Wandverkleidung?;Raum;;;;Architektur;Wandverkleidung/Fliesenspiegel;Einzelauswahl;"Fliesenspiegel;Wandfliesen (raumhoch);Holzverkleidung;Paneele;Steinverkleidung;Akustikverkleidung;sonstige;weiß nicht";;-;immer;Ja;Nein;;Architektur;10;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Fachkundig;;;Sub-Objekt
WV_Wand;An welcher Wand?;Raum;;;;Architektur;Wandverkleidung/Fliesenspiegel;Einzelauswahl;(Wände des Raums – Umfassungsflächen + Innenwand/Freitext);;-;immer;Ja;Nein;;Struktur & Verknüpfung;10;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Fachkundig;;;Sub-Objekt
WV_Hoehe;Höhe (cm)?;Raum;;;;Architektur;Wandverkleidung/Fliesenspiegel;Zahl;;;cm;immer;Nein;Nein;;Geometrie & Maße (Dimensionen);20;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Fachkundig;;;Sub-Objekt
WV_Breite;Breite (cm)?;Raum;;;;Architektur;Wandverkleidung/Fliesenspiegel;Zahl;;;cm;immer;Nein;Nein;;Geometrie & Maße (Dimensionen);21;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Fachkundig;;;Sub-Objekt
WV_Tiefe;Aufbaudicke (mm)?;Raum;;;;Architektur;Wandverkleidung/Fliesenspiegel;Zahl;;;mm;immer;Nein;Nein;;Geometrie & Maße (Dimensionen);22;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Fachkundig;;;Sub-Objekt
WV_Foto;Foto der Verkleidung;Raum;;;;Architektur;Wandverkleidung/Fliesenspiegel;Foto-Upload;;;-;immer;Nein;Ja;;Dokumentation / Foto;30;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Laie;;;Sub-Objekt
NI_Art;Art?;Raum;;;;Architektur;Rücksprung/Nische;Einzelauswahl;"Nische;Rücksprung;Vorsprung/Erker;Installationsschacht;sonstige;weiß nicht";;-;immer;Ja;Nein;;Architektur;10;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Fachkundig;;;Sub-Objekt
NI_Wand;An welcher Wand?;Raum;;;;Architektur;Rücksprung/Nische;Einzelauswahl;(Wände des Raums – Umfassungsflächen + Innenwand/Freitext);;-;immer;Ja;Nein;;Struktur & Verknüpfung;10;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Fachkundig;;;Sub-Objekt
NI_Hoehe;Höhe (cm)?;Raum;;;;Architektur;Rücksprung/Nische;Zahl;;;cm;immer;Nein;Nein;;Geometrie & Maße (Dimensionen);20;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Fachkundig;;;Sub-Objekt
NI_Breite;Breite (cm)?;Raum;;;;Architektur;Rücksprung/Nische;Zahl;;;cm;immer;Nein;Nein;;Geometrie & Maße (Dimensionen);21;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Fachkundig;;;Sub-Objekt
NI_Tiefe;Tiefe (cm)?;Raum;;;;Architektur;Rücksprung/Nische;Zahl;;;cm;immer;Nein;Nein;;Geometrie & Maße (Dimensionen);22;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Fachkundig;;;Sub-Objekt
NI_Foto;Foto der Nische/des Rücksprungs;Raum;;;;Architektur;Rücksprung/Nische;Foto-Upload;;;-;immer;Nein;Ja;;Dokumentation / Foto;30;Ja;Gebäudeaufnahme;MICHI;0.2;2026-09-02;300;Laie;;;Sub-Objekt
